,train_loss,valid_loss,best_valid_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/learning_rate,config/down_sampling_method,config/d_model,config/decomp_method,config/moving_avg,config/e_layers,config/dropout,config/d_ff,config/alpha_d_ff,logdir
28,0.7533231056653537,1.1757728485834031,1.1757728485834031,1724508043,checkpoint_000001,True,True,2,fa4b463b,2024-08-24_16-00-43,1.7032396793365479,4.285455942153931,1149166,antonio,192.168.1.144,4.285455942153931,2,128,0.0009174870675905744,conv,16,moving_avg,75.0,2,0.09390111274300603,64,4,fa4b463b
29,0.46823964073107793,1.0658549183890933,1.0658549183890933,1724508097,checkpoint_000007,True,False,8,e511d36b,2024-08-24_16-01-37,0.8385665416717529,6.7487876415252686,1150480,antonio,192.168.1.144,6.7487876415252686,8,128,0.0006990489281188954,conv,8,moving_avg,25.0,1,0.08421195593805939,24,3,e511d36b
30,0.41288566245482516,0.9992067522945858,0.995947926526978,1724508105,checkpoint_000007,True,False,8,a466239b,2024-08-24_16-01-45,1.9016690254211426,13.631293058395386,1150588,antonio,192.168.1.144,13.631293058395386,8,64,0.002728006734251387,avg,16,moving_avg,15.0,2,0.06690147535424099,32,2,a466239b
31,0.37992776582067495,1.0339544984911169,0.9873725970586141,1724508212,checkpoint_000005,True,True,6,9f9321ff,2024-08-24_16-03-32,23.117823839187622,112.9808189868927,1151521,antonio,192.168.1.144,112.9808189868927,6,32,0.0019597614256863247,conv,128,moving_avg,75.0,4,0.10977791287466174,384,3,9f9321ff
32,0.6397255030962137,1.1480396588643391,1.1480396588643391,1724508115,checkpoint_000001,True,False,2,6f8e297c,2024-08-24_16-01-55,3.599426507949829,8.419029235839844,1151974,antonio,192.168.1.144,8.419029235839844,2,128,0.0007413272011063462,conv,16,dft_decomp,,4,0.11729279968265204,48,3,6f8e297c
33,0.4038854298683313,1.0061371113572801,0.995792968642144,1724508185,checkpoint_000005,True,False,6,3a6e21fb,2024-08-24_16-03-05,2.240734100341797,16.053523063659668,1153580,antonio,192.168.1.144,10.558384656906128,4,64,0.003041392330895162,avg,8,moving_avg,25.0,3,0.09188971521439535,16,2,3a6e21fb
34,0.3903842501915418,1.0041920081490563,0.9890577452523368,1724508212,checkpoint_000005,True,True,6,b80dbf75,2024-08-24_16-03-32,5.352934837341309,37.75582146644592,1153981,antonio,192.168.1.144,24.679884672164917,4,64,0.0032347109526265658,avg,32,moving_avg,75.0,4,0.12230087001685547,96,3,b80dbf75
35,0.5309665331473717,1.0786407923414594,1.0786407923414594,1724508149,checkpoint_000001,True,False,2,d3590507,2024-08-24_16-02-29,3.3707997798919678,7.831796407699585,1152889,antonio,192.168.1.144,7.831796407699585,2,64,0.0005441253571011339,conv,8,moving_avg,75.0,4,0.05666945908313464,24,3,d3590507
36,0.5524417973481692,1.06149008728209,1.06149008728209,1724508173,checkpoint_000001,True,True,2,a030b7ec,2024-08-24_16-02-53,10.42450761795044,22.151476860046387,1153177,antonio,192.168.1.144,22.151476860046387,2,128,0.0017261510623806768,avg,128,dft_decomp,,2,0.0683447526412064,512,4,a030b7ec
37,0.4310690853102454,1.0113317106096518,1.0113317106096518,1724508335,checkpoint_000003,True,True,4,e07b96be,2024-08-24_16-05-35,27.68668532371521,121.53476023674011,1154527,antonio,192.168.1.144,121.53476023674011,4,16,0.0014560946402965413,avg,512,dft_decomp,,1,0.06558428872138604,1536,3,e07b96be
38,0.4426111455147083,1.0242671115057809,1.0242671115057809,1724508268,checkpoint_000007,True,False,8,8ac36dfb,2024-08-24_16-04-28,6.571241140365601,52.95129203796387,1154603,antonio,192.168.1.144,52.95129203796387,8,128,0.0007261137270715048,avg,128,dft_decomp,,1,0.12048863754363699,512,4,8ac36dfb
